City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,ivankiv,50.9386,29.8943,7.45,86,100,3.34,UA,1681677926
337,la palma,33.8464,-118.0467,24.95,66,75,3.6,US,1681677926
338,sao jose da coroa grande,-8.8978,-35.1478,26.62,81,47,3.57,BR,1681677927
339,wajima,37.4,136.9,8.26,74,100,4.91,JP,1681677927
340,sungaipenuh,-2.0833,101.3833,18.38,95,100,0.13,ID,1681677927
341,broome,42.2506,-75.833,25.39,52,75,4.63,US,1681677927
342,agirish,61.9247,63.0231,-16.04,97,69,1.3,RU,1681677928
343,seoul,37.5683,126.9778,6.69,90,0,2.57,KR,1681677711
344,rosetta,31.4044,30.4164,17.05,70,0,3.95,EG,1681677928
345,nalut,30.3333,10.85,16.06,51,0,9.19,LY,1681677929
346,anand,22.5667,72.9333,27.1,42,0,2.67,IN,1681677929
347,japura,-0.3167,102.35,22.8,96,100,1.11,ID,1681677930
348,henties bay,-22.116,14.2845,19.65,63,47,1.61,NA,1681677931
349,sivaki,52.6333,126.75,1.31,61,100,3.39,RU,1681677931
350,deputatskiy,69.3,139.9,-17.82,99,98,1.08,RU,1681677932
351,bima,-8.4667,118.7167,24.1,95,69,1.44,ID,1681677932
352,antigonish,45.6169,-61.9986,10.08,83,99,2.68,CA,1681677755
353,iralaya,15.0,-83.2333,28.36,67,6,4.02,HN,1681677933
354,sidmouth,50.6909,-3.2397,11.68,89,14,1.44,GB,1681677933
355,egvekinot,66.3167,-179.1667,-13.37,75,11,0.42,RU,1681677933
356,gimli,50.6336,-96.9907,2.01,64,0,6.69,CA,1681677933
357,mabaruma,8.2,-59.7833,28.17,62,92,2.82,GY,1681677934
358,santa cruz,-17.8,-63.1667,26.7,73,75,4.63,BO,1681677934
359,ambilobe,-13.2,49.05,22.67,94,7,1.23,MG,1681677934
360,yerbogachen,61.2767,108.0108,-22.16,100,19,1.7,RU,1681677934
361,colomi,-17.35,-65.8667,25.01,70,70,2.82,BO,1681677934
362,anadyr,64.75,177.4833,-16.72,84,0,2.0,RU,1681677935
